=== Courses offered for BTech CSE(core) ===


## University Elective

| Sl.No. | Basket Title | Course Code | Course Title | Course Type | Credits |
| 81 | University Elective Basket of B.Tech. CSE - 2021 | INC1012 | Smart Bridge - Artificial Intelligence | PJT | 2.0 |
| 82 | University Elective Basket of B.Tech. CSE - 2021 | INC1013 | Microsoft - Azure Fundamentals | PJT | 2.0 |
| 83 | University Elective Basket of B.Tech. CSE - 2021 | INC1014 | Smart Bridge - Data Analytics | PJT | 2.0 |
| 84 | University Elective Basket of B.Tech. CSE - 2021 | INC1015 | Smart Bridge - Applied Data Science | PJT | 2.0 |
| 85 | University Elective Basket of B.Tech. CSE - 2021 | INC1016 | RH124 Red Hat System Administration | PJT | 2.0 |
| 86 | University Elective Basket of B.Tech. CSE - 2021 | INC1017 | RH134 Red Hat System Administration II | PJT | 2.0 |
| 87 | University Elective Basket of B.Tech. CSE - 2021 | INC1018 | RH294 Red Hat Enterprise Linux Automation with Ansible | PJT | 2.0 |
| 88 | University Elective Basket of B.Tech. CSE - 2021 | INC1019 | AD183 Red Hat Application Development I: Programming in Java EE | PJT | 2.0 |
| 89 | University Elective Basket of B.Tech. CSE - 2021 | INC1020 | CL110 Red Hat OpenStack Administration I: Core Operations for Domain Operators | PJT | 2.0 |
| 90 | University Elective Basket of B.Tech. CSE - 2021 | INC1021 | ISRO Space Science and Technology Awareness Training (START) | PJT | 2.0 |
| 91 | University Elective Basket of B.Tech. CSE - 2021 | INC1022 | AWS Certified Solutions Architect - Associate | PJT | 2.0 |
| 92 | University Elective Basket of B.Tech. CSE - 2021 | INC1023 | Microsoft Power Platform App Maker (PL-100) | PJT | 2.0 |
| 93 | University Elective Basket of B.Tech. CSE - 2021 | INC1024 | Microsoft - Azure Administrator (AZ-104) | PJT | 2.0 |
| 94 | University Elective Basket of B.Tech. CSE - 2021 | INC1025 | Certificated Ethical Hacker (CEH) | PJT | 2.0 |
| 95 | University Elective Basket of B.Tech. CSE - 2021 | INC1026 | MERN Full StackQ | PJT | 2.0 |
| 96 | University Elective Basket of B.Tech. CSE - 2021 | INC1027 | Cloud Digital Leader | PJT | 2.0 |
| 97 | University Elective Basket of B.Tech. CSE - 2021 | INC1028 | Certificate in Mechanical Services Engineering | PJT | 2.0 |
| 98 | University Elective Basket of B.Tech. CSE - 2021 | INC1029 | VLSI Design Internship | PJT | 2.0 |
| 99 | University Elective Basket of B.Tech. CSE - 2021 | INC1030 | Java Development on Oracle Cloud (Java SE11) | PJT | 2.0 |
| 100 | University Elective Basket of B.Tech. CSE - 2021 | INC1031 | Certificate in Concrete Techniques and Practices | PJT | 2.0 |
| 101 | University Elective Basket of B.Tech. CSE - 2021 | INC1032 | Practitioners Approach to Power System Protection and Switchgear | PJT | 2.0 |
| 102 | University Elective Basket of B.Tech. CSE - 2021 | INC1033 | Certificate in Microcontroller and Application | PJT | 2.0 |
| 103 | University Elective Basket of B.Tech. CSE - 2021 | INC1034 | Database Developer on Oracle Cloud | PJT | 2.0 |
| 104 | University Elective Basket of B.Tech. CSE - 2021 | INC1035 | Application Development on Oracle Cloud | PJT | 2.0 |
| 105 | University Elective Basket of B.Tech. CSE - 2021 | INC1036 | Life Sciences - Quality Control Chemist | PJT | 2.0 |
| 106 | University Elective Basket of B.Tech. CSE - 2021 | INC1037 | Introduction to 3D Printing & CAD Modeling | PJT | 2.0 |
| 107 | University Elective Basket of B.Tech. CSE - 2021 | INC1038 | JAVA Full stack | PJT | 2.0 |
| 108 | University Elective Basket of B.Tech. CSE - 2021 | INC1039 | Certificate In Mechanized Construction Techniques | PJT | 2.0 |
| 109 | University Elective Basket of B.Tech. CSE - 2021 | INC1040 | Certificate In Transportation Infrastructure Engineering | PJT | 2.0 |
| 110 | University Elective Basket of B.Tech. CSE - 2021 | INC1041 | Electrical Design for Modern Building Infrastructure | PJT | 2.0 |
| 111 | University Elective Basket of B.Tech. CSE - 2021 | INC1042 | Foundation Course- VLSI Design Methodologies | PJT | 2.0 |
| 112 | University Elective Basket of B.Tech. CSE - 2021 | INC1043 | Oracle Java Foundation Associate | PJT | 2.0 |
| 113 | University Elective Basket of B.Tech. CSE - 2021 | INC1044 | Android App Development | PJT | 2.0 |
| 114 | University Elective Basket of B.Tech. CSE - 2021 | INC1045 | Automation Anywhere University Certified Essentials RPA Professional | PJT | 2.0 |
| 115 | University Elective Basket of B.Tech. CSE - 2021 | INC1046 | Google Cloud Computing Foundations | PJT | 2.0 |
| 116 | University Elective Basket of B.Tech. CSE - 2021 | INC1047 | Hands-On Training Analytical Drug Testing- Greentree Laboratories | PJT | 2.0 |
| 117 | University Elective Basket of B.Tech. CSE - 2021 | INC1048 | Salesforce Administrator | PJT | 2.0 |
| 118 | University Elective Basket of B.Tech. CSE - 2021 | INC1049 | Artificial Intelligence & Machine Learning in collaboration with Google (Applied Data Science) | PJT | 2.0 |
| 119 | University Elective Basket of B.Tech. CSE - 2021 | INC1050 | Data Analytics with IBM Cognos Analytics | PJT | 2.0 |
| 120 | University Elective Basket of B.Tech. CSE - 2021 | INC1051 | AI for Cyber Security With IBM Qrador (AI for Web Security) | PJT | 2.0 |
| 121 | University Elective Basket of B.Tech. CSE - 2021 | INC1052 | IOT - Vision Technologies | PJT | 2.0 |
| 122 | University Elective Basket of B.Tech. CSE - 2021 | INC1053 | Foundation Course - Embedded System Design | PJT | 2.0 |
| 123 | University Elective Basket of B.Tech. CSE - 2021 | INC2001 | IDS Inc. - Certified Blockchain Developer | PJT | 2.0 |
| 124 | University Elective Basket of B.Tech. CSE - 2021 | INC2002 | NASSCOM - Artificial Intelligence Foundation | PJT | 2.0 |
| 125 | University Elective Basket of B.Tech. CSE - 2021 | INC2003 | NASSCOM - Big Data Foundation | PJT | 2.0 |
| 126 | University Elective Basket of B.Tech. CSE - 2021 | INC2004 | NASSCOM - Cloud Computing Foundation | PJT | 2.0 |
| 127 | University Elective Basket of B.Tech. CSE - 2021 | INC2005 | NASSCOM - UX Foundation | PJT | 2.0 |
| 128 | University Elective Basket of B.Tech. CSE - 2021 | INC2006 | NASSCOM - IOT Foundation | PJT | 2.0 |
| 129 | University Elective Basket of B.Tech. CSE - 2021 | INC2007 | NASSCOM - Vulnerability Assessment for AppSec | PJT | 2.0 |
| 130 | University Elective Basket of B.Tech. CSE - 2021 | INC2008 | NASSCOM - Fundamentals of Data Analytics | PJT | 2.0 |
| 131 | University Elective Basket of B.Tech. CSE - 2021 | INC2009 | NASSCOM - Security Analyst | PJT | 2.0 |
| 132 | University Elective Basket of B.Tech. CSE - 2021 | INC2010 | NASSCOM - Associate Analytics | PJT | 2.0 |
| 133 | University Elective Basket of B.Tech. CSE - 2021 | INC2011 | Automation Anywhere - Robotics Process Automation | PJT | 2.0 |
| 134 | University Elective Basket of B.Tech. CSE - 2021 | INC2012 | Oracle Autonomous Database Cloud Specialist | PJT | 2.0 |
| 135 | University Elective Basket of B.Tech. CSE - 2021 | INC2013 | Oracle Application Express: Developing Web Applications | PJT | 2.0 |
| 136 | University Elective Basket of B.Tech. CSE - 2021 | INC2014 | Oracle Cloud Infrastructure Foundations Associate | PJT | 2.0 |
| 137 | University Elective Basket of B.Tech. CSE - 2021 | INC2015 | Oracle Machine Learning Data Scientist | PJT | 2.0 |
| 138 | University Elective Basket of B.Tech. CSE - 2021 | INC2016 | Oracle - Java SE Developer | PJT | 2.0 |
| 139 | University Elective Basket of B.Tech. CSE - 2021 | INC2017 | AWS - Cloud Practitioner - Foundation | PJT | 2.0 |
| 140 | University Elective Basket of B.Tech. CSE - 2021 | INC2018 | AWS - Solution Architect - Associate | PJT | 2.0 |
| 141 | University Elective Basket of B.Tech. CSE - 2021 | INC2019 | AWS SysOps Administrator - Associate | PJT | 2.0 |
| 142 | University Elective Basket of B.Tech. CSE - 2021 | INC2020 | AWS Developer - Associate | PJT | 2.0 |
| 143 | University Elective Basket of B.Tech. CSE - 2021 | INC2021 | Microsoft - Azure AI Fundamentals | PJT | 2.0 |
| 144 | University Elective Basket of B.Tech. CSE - 2021 | INC2022 | Microsoft - Azure AI Engineer | PJT | 2.0 |
| 145 | University Elective Basket of B.Tech. CSE - 2021 | INC2023 | Microsoft - Azure Data Scientist | PJT | 2.0 |
| 146 | University Elective Basket of B.Tech. CSE - 2021 | INC2024 | Microsoft - Azure Data Engineer - 1 | PJT | 2.0 |
| 147 | University Elective Basket of B.Tech. CSE - 2021 | INC2025 | Microsoft - Azure Data Engineer - 2 | PJT | 2.0 |
| 148 | University Elective Basket of B.Tech. CSE - 2021 | INC2026 | Microsoft - Azure Developer - 1 | PJT | 2.0 |
| 149 | University Elective Basket of B.Tech. CSE - 2021 | INC2027 | Microsoft - Azure Developer - 2 | PJT | 2.0 |
| 150 | University Elective Basket of B.Tech. CSE - 2021 | INC2028 | Microsoft - Azure DevOps Engineer - 4 | PJT | 2.0 |
| 151 | University Elective Basket of B.Tech. CSE - 2021 | INC2029 | Microsoft - Azure Security Engineer - 5 | PJT | 2.0 |
| 152 | University Elective Basket of B.Tech. CSE - 2021 | INC2030 | Microsoft - Azure Solutions Architect | PJT | 2.0 |
| 153 | University Elective Basket of B.Tech. CSE - 2021 | INC2031 | Maven Silicon - VLSI | PJT | 2.0 |
| 154 | University Elective Basket of B.Tech. CSE - 2021 | INC2032 | VMWare IT Academy - Java Spring Boot | PJT | 2.0 |
| 155 | University Elective Basket of B.Tech. CSE - 2021 | INC2033 | IBM Developers Skills Network - IBM Cloud | PJT | 2.0 |
| 156 | University Elective Basket of B.Tech. CSE - 2021 | INC2034 | AWS - DevOps | PJT | 2.0 |
| 157 | University Elective Basket of B.Tech. CSE - 2021 | INC2035 | IBM - Artificial Intelligence | PJT | 2.0 |
| 158 | University Elective Basket of B.Tech. CSE - 2021 | INC2036 | IBM - Applied Data Science | PJT | 2.0 |
| 159 | University Elective Basket of B.Tech. CSE - 2021 | INC2037 | IBM - Internet of Things | PJT | 2.0 |
| 160 | University Elective Basket of B.Tech. CSE - 2021 | INC2038 | IBM Developers Skills Network - IBM Cloud | PJT | 2.0 |
| 161 | University Elective Basket of B.Tech. CSE - 2021 | INC2039 | APSSDC-IES - Data Science | PJT | 2.0 |
| 162 | University Elective Basket of B.Tech. CSE - 2021 | INC2040 | Boston IT Solutions - Deep Learning | PJT | 2.0 |
| 163 | University Elective Basket of B.Tech. CSE - 2021 | INC2041 | Boston IT Solutions - Machine Learning | PJT | 2.0 |
| 164 | University Elective Basket of B.Tech. CSE - 2021 | INC2042 | Boston IT Solutions - Python for Artificial Intelligence | PJT | 2.0 |
| 165 | University Elective Basket of B.Tech. CSE - 2021 | INC2043 | Boston IT Solutions - Data Analysis with SQL | PJT | 2.0 |
| 166 | University Elective Basket of B.Tech. CSE - 2021 | INC2044 | Boston IT Solutions - Fundamentals of Computer Vision | PJT | 2.0 |
| 167 | University Elective Basket of B.Tech. CSE - 2021 | INC2045 | Boston IT Solutions - Fundamentals of Natural Language Processing | PJT | 2.0 |
| 168 | University Elective Basket of B.Tech. CSE - 2021 | INC2046 | INC2046 | PJT | 2.0 |
| 169 | University Elective Basket of B.Tech. CSE - 2021 | INC2047 | PAANCA - Cybersecurity Foundation | PJT | 2.0 |
| 170 | University Elective Basket of B.Tech. CSE - 2021 | INC2048 | PAANCA - Network Security Fundamentals | PJT | 2.0 |
| 171 | University Elective Basket of B.Tech. CSE - 2021 | INC2049 | PAANCA - Cloud Security Fundamentals | PJT | 2.0 |
| 172 | University Elective Basket of B.Tech. CSE - 2021 | INC2050 | PAANCA - Security Operations Fundamentals | PJT | 2.0 |
| 173 | University Elective Basket of B.Tech. CSE - 2021 | INC2051 | PAANCA - Enterprise Security Deployment | PJT | 2.0 |
| 174 | University Elective Basket of B.Tech. CSE - 2021 | INC2052 | PAANCA - Enterprise Security Management | PJT | 2.0 |
| 175 | University Elective Basket of B.Tech. CSE - 2021 | INC2053 | PAANCA - Cloud Security Deployment | PJT | 2.0 |
| 176 | University Elective Basket of B.Tech. CSE - 2021 | INC2054 | PAANCA - Security Operations | PJT | 2.0 |
| 177 | University Elective Basket of B.Tech. CSE - 2021 | INC2055 | PAANCA - Data Science | PJT | 2.0 |
| 178 | University Elective Basket of B.Tech. CSE - 2021 | INC2056 | Ethical Hacking Essentials | PJT | 2.0 |
| 179 | University Elective Basket of B.Tech. CSE - 2021 | INC2057 | Digital Forensics Essentials | PJT | 2.0 |
| 180 | University Elective Basket of B.Tech. CSE - 2021 | INC2058 | Network Defense Essentials | PJT | 2.0 |
| 181 | University Elective Basket of B.Tech. CSE - 2021 | INC2059 | Salesforce Developer | PJT | 2.0 |
| 182 | University Elective Basket of B.Tech. CSE - 2021 | INC2060 | Adobe UX & UI | PJT | 2.0 |
| 183 | University Elective Basket of B.Tech. CSE - 2021 | INC2061 | MongoDB Associate Database Administrator | PJT | 2.0 |
| 184 | University Elective Basket of B.Tech. CSE - 2021 | INC2062 | High Performance Coding - Advanced Data Structures & Algorithms using Java | PJT | 2.0 |
| 185 | University Elective Basket of B.Tech. CSE - 2021 | INC2063 | Design of Process Plant Equipment and Industrial Piping Systems | PJT | 2.0 |
| 186 | University Elective Basket of B.Tech. CSE - 2021 | INC2064 | Distributed CoughDB - CoughBase | PJT | 2.0 |
| 187 | University Elective Basket of B.Tech. CSE - 2021 | INC2065 | Embedded System Design Internship | PJT | 2.0 |
| 188 | University Elective Basket of B.Tech. CSE - 2021 | INC2066 | DP 900 - Microsoft Azure Data Fundamentals Exam | PJT | 2.0 |
| 189 | University Elective Basket of B.Tech. CSE - 2021 | INC2067 | Oracle Database Foundation | PJT | 2.0 |
| 190 | University Elective Basket of B.Tech. CSE - 2021 | INC2068 | Selenium Certiﬁcation Training Course in collab with PWC | PJT | 2.0 |
| 191 | University Elective Basket of B.Tech. CSE - 2021 | INC2069 | Artificial Intelligence using Google TensorFlow in collab with Google | PJT | 2.0 |
| 192 | University Elective Basket of B.Tech. CSE - 2021 | INC2070 | Generative AI Applications using Vertex AI in Collaboration with Google | PJT | 2.0 |
| 193 | University Elective Basket of B.Tech. CSE - 2021 | INC2071 | Full Stack Developer (MERN) with MongoDB Associate Developer Certification | PJT | 2.0 |
| 194 | University Elective Basket of B.Tech. CSE - 2021 | INC2072 | AI 900- Microsoft Azure AI Fundamentals Exam | PJT | 2.0 |
| 195 | University Elective Basket of B.Tech. CSE - 2021 | INC2073 | NASSCOM - Pragmatic Approach to Cyber Security | PJT | 2.0 |
| 196 | University Elective Basket of B.Tech. CSE - 2021 | INC2074 | Cyber Security & Ethical Hacking-SmartBridge | PJT | 2.0 |
| 197 | University Elective Basket of B.Tech. CSE - 2021 | INC3001 | Full stack Development with MERN | PJT | 2.0 |
| 198 | University Elective Basket of B.Tech. CSE - 2021 | INC3002 | Data Science & Business Analytics | PJT | 2.0 |
| 199 | University Elective Basket of B.Tech. CSE - 2021 | INC3003 | Embedded Systems and IoT | PJT | 2.0 |
| 200 | University Elective Basket of B.Tech. CSE - 2021 | INC3004 | Data Analytics & Big Data Fundamentals | PJT | 2.0 |
| 201 | University Elective Basket of B.Tech. CSE - 2021 | INC3005 | Cyber Security and Ethical Hacking | PJT | 2.0 |
| 202 | University Elective Basket of B.Tech. CSE - 2021 | INC3006 | UI/UX Developer | PJT | 2.0 |
| 203 | University Elective Basket of B.Tech. CSE - 2021 | INC3007 | Devops | PJT | 2.0 |
| 204 | University Elective Basket of B.Tech. CSE - 2021 | INC3008 | Gen AI and Chat GPT | PJT | 2.0 |
| 205 | University Elective Basket of B.Tech. CSE - 2021 | INC3009 | Blockchain Specialization | PJT | 2.0 |
| 206 | University Elective Basket of B.Tech. CSE - 2021 | INC3010 | Robotics Process Automation | PJT | 2.0 |
| 207 | University Elective Basket of B.Tech. CSE - 2021 | INC3011 | Cloud Computing | PJT | 2.0 |
| 208 | University Elective Basket of B.Tech. CSE - 2021 | INC3012 | Digital Marketing, Performance Optimization & CRM Tools | PJT | 2.0 |
| 209 | University Elective Basket of B.Tech. CSE - 2021 | INC3013 | AI for Management Graduates: Leveraging Artificial Intelligence in Business | PJT | 2.0 |
| 210 | University Elective Basket of B.Tech. CSE - 2021 | INC3014 | Project Management and Collaboration | PJT | 2.0 |
| 211 | University Elective Basket of B.Tech. CSE - 2021 | INC3015 | Product Management | PJT | 2.0 |
| 212 | University Elective Basket of B.Tech. CSE - 2021 | INC3016 | The Art of Storytelling for Beginners | PJT | 2.0 |
| 213 | University Elective Basket of B.Tech. CSE - 2021 | INC3017 | Supply Chain Management | PJT | 2.0 |
| 214 | University Elective Basket of B.Tech. CSE - 2021 | INC3018 | Brand Management | PJT | 2.0 |
| 215 | University Elective Basket of B.Tech. CSE - 2021 | INC3019 | Business Valuation Techniques | PJT | 2.0 |
| 216 | University Elective Basket of B.Tech. CSE - 2021 | INC3020 | Investment Banking Operations and Management | PJT | 2.0 |
| 217 | University Elective Basket of B.Tech. CSE - 2021 | INC3021 | Prompt Engineering | PJT | 2.0 |
| 218 | University Elective Basket of B.Tech. CSE - 2021 | INC3022 | Generative AI | PJT | 2.0 |
| 219 | University Elective Basket of B.Tech. CSE - 2021 | INC3023 | Quantum computing | PJT | 2.0 |
| 220 | University Elective Basket of B.Tech. CSE - 2021 | INC3024 | AutoML | PJT | 2.0 |
| 221 | University Elective Basket of B.Tech. CSE - 2021 | INL1001 | Functional Hindi for non-Hindi Speakers | TH | 2.0 |
| 222 | University Elective Basket of B.Tech. CSE - 2021 | INL1002 | Introduction to Hindi Language and Literature | TH | 2.0 |
| 223 | University Elective Basket of B.Tech. CSE - 2021 | LAW1001 | Law, Internet and Society | TH | 3.0 |
| 224 | University Elective Basket of B.Tech. CSE - 2021 | LAW1002 | Competition Law for Engineers | TH | 3.0 |
| 225 | University Elective Basket of B.Tech. CSE - 2021 | LAW1003 | Human Rights and Criminal Justice System | TH | 3.0 |
| 226 | University Elective Basket of B.Tech. CSE - 2021 | LAW1005 | Introduction to Indian Constitution | TH | 3.0 |
| 227 | University Elective Basket of B.Tech. CSE - 2021 | LAW1008 | Intellectual Property Law for Engineers | TH | 4.0 |
| 228 | University Elective Basket of B.Tech. CSE - 2021 | LAW1012 | Critical Legal Philosophy | TH | 4.0 |
